Store,Date,Temperature,Fuel_Price,CPI,Unemployment,,IsHoliday,Sales
1,5/11/2012,73.77,3.688,221.7256632,7.143,0,FALSE,"$1,602,754.55 "
1,5/18/2012,70.33,3.63,221.742674,7.143,0,FALSE,"$1,579,860.26 "
1,5/25/2012,77.22,3.561,221.744944,7.143,0,FALSE,"$1,533,860.62 "
1,6/1/2012,77.95,3.501,221.7472139,7.143,0,FALSE,"$1,602,132.59 "
1,6/8/2012,78.3,3.452,221.7494839,7.143,0,FALSE,"$1,680,708.70 "
1,6/15/2012,79.35,3.393,221.7626421,7.143,0,FALSE,"$1,614,719.94 "
1,6/22/2012,78.39,3.346,221.8030211,7.143,0,FALSE,"$1,517,199.31 "
1,6/29/2012,84.88,3.286,221.8434,7.143,0,FALSE,"$1,538,895.71 "
1,7/6/2012,81.57,3.227,221.8837789,6.908,0,FALSE,"$1,761,303.55 "
1,7/13/2012,77.12,3.256,221.9241579,6.908,0,FALSE,"$1,536,692.04 "
1,7/20/2012,80.42,3.311,221.9327267,6.908,0,FALSE,"$1,502,405.03 "
1,7/27/2012,82.66,3.407,221.9412954,6.908,0,FALSE,"$1,446,975.26 "
1,8/3/2012,86.11,3.417,221.9498642,6.908,0,FALSE,"$1,629,929.86 "
1,8/10/2012,85.05,3.494,221.9584329,6.908,0,FALSE,"$1,593,405.13 "
1,8/17/2012,84.85,3.571,222.0384109,6.908,0,FALSE,"$1,592,879.39 "
1,8/24/2012,77.66,3.62,222.1719457,6.908,0,FALSE,"$1,516,935.30 "
1,8/31/2012,80.49,3.638,222.3054805,6.908,0,FALSE,"$1,594,378.86 "
1,9/7/2012,83.96,3.73,222.4390153,6.908,1,TRUE,"$1,670,267.58 "
1,9/14/2012,74.97,3.717,222.5820193,6.908,0,FALSE,"$1,538,255.95 "
1,9/21/2012,69.87,3.721,222.7818386,6.908,0,FALSE,"$1,518,037.69 "
1,9/28/2012,76.08,3.666,222.9816579,6.908,0,FALSE,"$1,449,530.09 "
1,10/5/2012,68.55,3.617,223.1814772,6.573,0,FALSE,"$1,680,589.36 "
1,10/12/2012,62.99,3.601,223.3812965,6.573,0,FALSE,"$1,577,583.98 "
1,10/19/2012,67.97,3.594,223.4257233,6.573,0,FALSE,"$1,510,615.88 "
1,10/26/2012,69.16,3.506,223.4442513,6.573,0,FALSE,"$1,479,994.23 "
